experiment_id,section_thickness,specimen_id,plane,gene,gene_name,chromosome_id,entrez_id,genomic_reference_update_id,homologene_id,organism_id
70593329,25,69778842,sagittal,Nr6a1,"nuclear receptor subfamily 6, group A, member 1",47.0,14536.0,491928275.0,36308.0,2
70593328,25,69778842,sagittal,Nr2c2,"nuclear receptor subfamily 2, group C, member 2",51.0,22026.0,491928275.0,2475.0,2
70595738,25,69778862,sagittal,LOC245498,similar to TAK1-binding protein 3 isoform 1; NFkB activating protein 1,57.0,245498.0,491928275.0,,2
70593359,25,69778854,sagittal,Smad1,SMAD family member 1,53.0,17125.0,491928275.0,21196.0,2
70593346,25,69778854,sagittal,Sim1,single-minded homolog 1 (Drosophila),35.0,20464.0,491928275.0,3715.0,2
70595990,25,69778822,sagittal,Gm15217,predicted gene 15217,40.0,100041724.0,491928275.0,,2
70596002,25,69778822,sagittal,Greb1l,growth regulation by estrogen in breast cancer-like,44.0,381157.0,491928275.0,73393.0,2
68080707,25,67964557,sagittal,Tmem128,transmembrane protein 128,50.0,66309.0,491928275.0,11944.0,2
69874090,25,69426208,sagittal,Slco1c1,"solute carrier organic anion transporter family, member 1c1",51.0,58807.0,491928275.0,23008.0,2
68080705,25,67964557,sagittal,Tmem219,transmembrane protein 219,52.0,68742.0,491928275.0,19263.0,2
68080675,25,67964519,sagittal,Phlda1,"pleckstrin homology-like domain, family A, member 1",35.0,21664.0,491928275.0,7203.0,2
68080679,25,67964532,sagittal,Ndufv2,NADH dehydrogenase (ubiquinone) flavoprotein 2,43.0,72900.0,491928275.0,10884.0,2
68080684,25,67964532,sagittal,Calml4,calmodulin-like 4,54.0,75600.0,491928275.0,77215.0,2
68076991,25,67964493,sagittal,Nfu1,NFU1 iron-sulfur cluster scaffold homolog (S. cerevisiae),51.0,56748.0,491928275.0,6369.0,2
68080685,25,67964536,sagittal,3632451O06Rik,RIKEN cDNA 3632451O06 gene,40.0,67419.0,491928275.0,12127.0,2
2272,25,702879,sagittal,Gpr37,G protein-coupled receptor 37,51.0,14763.0,491928275.0,3875.0,2
2298,25,702878,sagittal,Hopx,HOP homeobox,50.0,74318.0,491928275.0,15859.0,2
2300,25,702859,sagittal,Hoxb13,homeobox B13,36.0,15408.0,491928275.0,4640.0,2
69530870,25,69154939,sagittal,C230009H10Rik,RIKEN cDNA C230009H10 gene,52.0,320399.0,491928275.0,,2
1097,25,702652,sagittal,Vdr,vitamin D receptor,41.0,22337.0,491928275.0,37297.0,2
181,25,702653,sagittal,Calm1,calmodulin 1,37.0,12313.0,491928275.0,116117.0,2
1055,25,702653,sagittal,Tgfbr1,"transforming growth factor, beta receptor I",49.0,21812.0,491928275.0,3177.0,2
180,25,702653,sagittal,Calm1,calmodulin 1,37.0,12313.0,491928275.0,116117.0,2
69527758,25,69145779,sagittal,Plcxd3,"phosphatidylinositol-specific phospholipase C, X domain containing 3",41.0,239318.0,491928275.0,45574.0,2
69527740,25,69145779,sagittal,Ptpdc1,protein tyrosine phosphatase domain containing 1,39.0,218232.0,491928275.0,17576.0,2
69527728,25,69145779,sagittal,Slc16a12,"solute carrier family 16 (monocarboxylic acid transporters), member 12",45.0,240638.0,491928275.0,130007.0,2
69527752,25,69145779,sagittal,Tmtc3,transmembrane and tetratricopeptide repeat containing 3,35.0,237500.0,491928275.0,27616.0,2
68743943,25,68678065,sagittal,Slc15a2,"solute carrier family 15 (H+/peptide transporter), member 2",42.0,57738.0,491928275.0,56912.0,2
71209934,25,70298661,sagittal,Mm.359728,Unigene Mm.359728,,,,,2
68744044,25,68678081,sagittal,Ppcdc,phosphopantothenoylcysteine decarboxylase,54.0,66812.0,491928275.0,11049.0,2
68744164,25,68678109,sagittal,Sh2d1a,SH2 domain containing 1A,57.0,20400.0,491928275.0,1762.0,2
70303851,25,70248820,sagittal,4732490P12,hypothetical protein 4732490P12,53.0,330787.0,491928275.0,,2
70303845,25,70248820,sagittal,4632417D23Rik,RIKEN cDNA 4632417D23 gene,42.0,245843.0,491928275.0,,2
68743966,25,68678069,sagittal,Ngdn,"neuroguidin, EIF4E binding protein",40.0,68966.0,491928275.0,44286.0,2
70218884,25,69534648,sagittal,Mon1b,MON1 homolog b (yeast),53.0,270096.0,491928275.0,69174.0,2
69059949,25,68671025,sagittal,Cherp,calcium homeostasis endoplasmic reticulum protein,53.0,27967.0,491928275.0,4656.0,2
68799155,25,68569882,sagittal,Smarca5,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5",53.0,93762.0,491928275.0,55764.0,2
69874078,25,69426204,sagittal,Slc9a6,"solute carrier family 9 (sodium/hydrogen exchanger), member 6",57.0,236794.0,491928275.0,55971.0,2
69885780,25,69426221,sagittal,Ssty2,spermiogenesis specific transcript on the Y 2,60.0,70009.0,491928275.0,86944.0,2
69887529,25,69426221,sagittal,Syt9,synaptotagmin IX,52.0,60510.0,491928275.0,11062.0,2
69874108,25,69426208,sagittal,Slco5a1,"solute carrier organic anion transporter family, member 5A1",34.0,240726.0,491928275.0,57135.0,2
69874102,25,69426208,sagittal,Slco4c1,"solute carrier organic anion transporter family, member 4C1",34.0,227394.0,491928275.0,62654.0,2
69838742,25,69426225,sagittal,Adamtsl4,ADAMTS-like 4,48.0,229595.0,491928275.0,23141.0,2
69838750,25,69434057,sagittal,Ttc5,tetratricopeptide repeat domain 5,40.0,219022.0,491928275.0,14397.0,2
69838747,25,69434057,sagittal,Echdc1,enoyl Coenzyme A hydratase domain containing 1,35.0,52665.0,491928275.0,23106.0,2
68798145,25,68350263,sagittal,Olfr1426,olfactory receptor 1426,45.0,258805.0,491928275.0,128079.0,2
69013326,25,68569809,sagittal,Fam73b,"family with sequence similarity 73, member B",47.0,108958.0,491928275.0,13125.0,2
69816655,25,69401184,sagittal,Nrip2,nuclear receptor interacting protein 2,51.0,60345.0,491928275.0,11023.0,2
69816978,25,69401209,sagittal,Tfec,transcription factor EC,51.0,21426.0,491928275.0,32148.0,2
69013314,25,68569809,sagittal,Sgpp2,sphingosine-1-phosphate phosphotase 2,34.0,433323.0,491928275.0,51848.0,2
68798127,25,68350259,sagittal,Dact2,"dapper homolog 2, antagonist of beta-catenin (xenopus)",43.0,240025.0,491928275.0,18237.0,2
67815964,25,323809,sagittal,Wdr62,WD repeat domain 62,52.0,233064.0,491928275.0,15927.0,2
67881775,25,323821,sagittal,Amz2,archaelysin family metallopeptidase 2,36.0,13929.0,491928275.0,9602.0,2
69527776,25,69145783,sagittal,Thsd4,"thrombospondin, type I, domain containing 4",54.0,207596.0,491928275.0,49796.0,2
69527878,25,69145795,sagittal,B230396K10Rik,RIKEN cDNA B230396K10 gene,36.0,319598.0,491928275.0,,2
69527872,25,69145795,sagittal,Tmem74,transmembrane protein 74,41.0,239408.0,491928275.0,17684.0,2
70725459,25,70666165,sagittal,Gm1441,"gene model 1441, (NCBI)",52.0,384670.0,491928275.0,,2
68744188,25,68678113,sagittal,Ltb4r1,leukotriene B4 receptor 1,40.0,16995.0,491928275.0,22477.0,2
413814,25,220420,sagittal,Edem2,"ER degradation enhancer, mannosidase alpha-like 2",47.0,108687.0,491928275.0,10075.0,2
69028384,25,68602830,sagittal,Il21r,interleukin 21 receptor,52.0,60504.0,491928275.0,11040.0,2
532589,25,220408,sagittal,Nadk,NAD kinase,49.0,192185.0,491928275.0,49724.0,2
73606648,25,71456164,sagittal,Lpcat4,lysophosphatidylcholine acyltransferase 4,47.0,99010.0,491928275.0,27544.0,2
532588,25,220408,sagittal,Vmp1,vacuole membrane protein 1,36.0,75909.0,491928275.0,23686.0,2
70593193,25,69778774,sagittal,Zfp804a,zinc finger protein 804A,47.0,241514.0,491928275.0,18461.0,2
532590,25,220408,sagittal,Ccndbp1,cyclin D-type binding-protein 1,47.0,17151.0,491928275.0,7826.0,2
532592,25,220408,sagittal,Phyh,phytanoyl-CoA hydroxylase,47.0,16922.0,491928275.0,4530.0,2
69013483,25,68569818,sagittal,Golph3,golgi phosphoprotein 3,41.0,66629.0,491928275.0,56942.0,2
69013654,25,68569827,sagittal,Mtmr12,myotubularin related protein 12,41.0,268783.0,491928275.0,10403.0,2
69885624,25,69434163,sagittal,Snx3,sorting nexin 3,35.0,54198.0,491928275.0,36144.0,2
69838763,25,69434083,sagittal,Dnttip1,"deoxynucleotidyltransferase, terminal, interacting protein 1",47.0,76233.0,491928275.0,14189.0,2
69838748,25,69434057,sagittal,Csgalnact2,chondroitin sulfate N-acetylgalactosaminyltransferase 2,51.0,78752.0,491928275.0,23109.0,2
69838746,25,69434057,sagittal,Usp20,ubiquitin specific peptidase 20,47.0,74270.0,491928275.0,4861.0,2
69013615,25,68569868,sagittal,Wasl,Wiskott-Aldrich syndrome-like (human),51.0,73178.0,491928275.0,74515.0,2
69013320,25,68569809,sagittal,Fam212b,"family with sequence similarity 212, member B",48.0,109050.0,491928275.0,10421.0,2
69816613,25,69401426,sagittal,Lbx2,ladybird homeobox homolog 2 (Drosophila),51.0,16815.0,491928275.0,36314.0,2
532610,25,220412,sagittal,Abi1,abl-interactor 1,47.0,11308.0,491928275.0,38053.0,2
413800,25,220391,sagittal,Grpel1,"GrpE-like 1, mitochondrial",50.0,17713.0,491928275.0,6992.0,2
413805,25,220391,sagittal,Ppp5c,"protein phosphatase 5, catalytic subunit",52.0,19060.0,491928275.0,4550.0,2
413804,25,220391,sagittal,Uba3,ubiquitin-like modifier activating enzyme 3,51.0,22200.0,491928275.0,2951.0,2
68151385,25,67964600,sagittal,Trib2,tribbles homolog 2 (Drosophila),37.0,217410.0,491928275.0,41445.0,2
68151391,25,67964600,sagittal,Enox2,ecto-NOX disulfide-thiol exchanger 2,57.0,209224.0,491928275.0,17120.0,2
68117988,25,67964561,sagittal,Nfil3,"nuclear factor, interleukin 3, regulated",39.0,18030.0,491928275.0,3928.0,2
68076979,25,67964493,sagittal,Alox12e,"arachidonate lipoxygenase, epidermal",36.0,11685.0,491928275.0,105868.0,2
69527944,25,69145799,sagittal,Fam102b,"family with sequence similarity 102, member B",48.0,329739.0,491928275.0,46568.0,2
69059952,25,68671025,sagittal,Dnajc17,"DnaJ (Hsp40) homolog, subfamily C, member 17",47.0,69408.0,491928275.0,49527.0,2
69015578,25,68663473,sagittal,Atp6ap2,"ATPase, H+ transporting, lysosomal accessory protein 2",57.0,70495.0,491928275.0,38097.0,2
69013774,25,68569831,sagittal,C030033M19Rik,RIKEN cDNA C030033M19 gene,34.0,226928.0,491928275.0,,2
70595925,25,69778891,sagittal,Lin28b,lin-28 homolog B (C. elegans),35.0,380669.0,491928275.0,47607.0,2
70595901,25,69778891,sagittal,Gm5124,predicted pseudogene 5124,57.0,331392.0,491928275.0,,2
70595859,25,69778802,sagittal,Gm973,predicted gene 973,34.0,381260.0,491928275.0,124277.0,2
155,25,702648,sagittal,Bcan,brevican,48.0,12032.0,491928275.0,7244.0,2
69672096,25,69636980,sagittal,Ephb2,Eph receptor B2,49.0,13844.0,491928275.0,37925.0,2
69672126,25,69636857,sagittal,Erbb4,v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian),34.0,13869.0,491928275.0,21084.0,2
156,25,702648,sagittal,Bcan,brevican,48.0,12032.0,491928275.0,7244.0,2
70228400,25,69534664,sagittal,Tfdp2,transcription factor Dp 2,54.0,211586.0,491928275.0,4578.0,2
2032,25,702648,sagittal,Apba2,"amyloid beta (A4) precursor protein-binding, family A, member 2",52.0,11784.0,491928275.0,4021.0,2
441,25,702649,sagittal,Fgfr1,fibroblast growth factor receptor 1,53.0,14182.0,491928275.0,69065.0,2
69816625,25,69401426,sagittal,Mga,MAX gene associated,47.0,29808.0,491928275.0,49351.0,2
73716590,25,71478361,sagittal,2810433D01Rik,RIKEN cDNA 2810433D01 gene,36.0,77132.0,491928275.0,,2
73716584,25,71478361,sagittal,H2-Q8,"histocompatibility 2, Q region locus 8",43.0,15019.0,491928275.0,,2
73712918,25,71478357,sagittal,Gnrh1,gonadotropin releasing hormone 1,40.0,14714.0,491928275.0,641.0,2
48,25,702649,sagittal,Clic6,chloride intracellular channel 6,42.0,209195.0,491928275.0,43154.0,2
73617546,25,71444986,sagittal,1700040D17Rik,RIKEN cDNA 1700040D17 gene,48.0,76602.0,491928275.0,,2
73584825,25,71414790,sagittal,Efcab5,EF-hand calcium binding domain 5,36.0,319634.0,491928275.0,63366.0,2
2314,25,702624,sagittal,Igf2,insulin-like growth factor 2,52.0,16002.0,491928275.0,510.0,2
513472,25,220379,sagittal,Hdgfrp2,"hepatoma-derived growth factor, related protein 2",43.0,15193.0,491928275.0,7355.0,2
512993,25,220477,sagittal,Tmsb4x,"thymosin, beta 4, X chromosome",57.0,19241.0,491928275.0,116060.0,2
2084,25,702747,sagittal,Cdh4,cadherin 4,47.0,12561.0,491928275.0,48044.0,2
2461,25,702739,sagittal,Pafah1b1,"platelet-activating factor acetylhydrolase, isoform 1b, subunit 1",36.0,18472.0,491928275.0,371.0,2
69028617,25,68640563,sagittal,Azgp1,"alpha-2-glycoprotein 1, zinc",50.0,12007.0,491928275.0,915.0,2
70725447,25,70666165,sagittal,LOC384610,similar to X-linked inhibitor of apoptosis,52.0,384610.0,491928275.0,,2
324,25,702647,sagittal,Dazap1,DAZ associated protein 1,35.0,70248.0,491928275.0,23129.0,2
325,25,702647,sagittal,Dazap1,DAZ associated protein 1,35.0,70248.0,491928275.0,23129.0,2
71378437,25,70499989,sagittal,Ptprc,"protein tyrosine phosphatase, receptor type, C",34.0,19264.0,491928275.0,2126.0,2
69014842,25,68579591,sagittal,Gm5069,predicted pseudogene 5069,34.0,277333.0,491928275.0,,2
69014824,25,68579591,sagittal,Tbc1d16,"TBC1 domain family, member 16",36.0,207592.0,491928275.0,10380.0,2
73606546,25,71456155,sagittal,Spen,"SPEN homolog, transcriptional regulator (Drosophila)",49.0,56381.0,491928275.0,124461.0,2
69817354,25,69401233,sagittal,Prl6a1,"prolactin family 6, subfamily a, member 1",39.0,19111.0,491928275.0,49261.0,2
69817348,25,69401233,sagittal,Wnk4,WNK lysine deficient protein kinase 4,36.0,69847.0,491928275.0,13020.0,2
69817360,25,69401233,sagittal,Pros1,protein S (alpha),42.0,19128.0,491928275.0,264.0,2
69818090,25,69401250,sagittal,Rev3l,"REV3-like, catalytic subunit of DNA polymerase zeta RAD54 like (S. cerevisiae)",35.0,19714.0,491928275.0,48147.0,2
68117991,25,67964583,sagittal,Atg10,autophagy related 10,39.0,66795.0,491928275.0,12036.0,2
68151349,25,67964596,sagittal,Tbc1d10b,"TBC1 domain family, member 10b",52.0,68449.0,491928275.0,9177.0,2
68151346,25,67964596,sagittal,Exo5,exonuclease 5,49.0,73172.0,491928275.0,41497.0,2
68117987,25,67964561,sagittal,Jade1,jade family PHD finger 1,48.0,269424.0,491928275.0,18162.0,2
68117986,25,67964561,sagittal,Edf1,endothelial differentiation-related factor 1,47.0,59022.0,491928275.0,2809.0,2
68743775,25,68678045,sagittal,C1galt1,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1",51.0,94192.0,491928275.0,10599.0,2
70786743,25,70666201,sagittal,Gm12830,predicted gene 12830,49.0,433746.0,491928275.0,,2
71393322,25,70516713,sagittal,BC052040,cDNA sequence BC052040,47.0,399568.0,491928275.0,32780.0,2
71377987,25,70499973,sagittal,1700021A07Rik,RIKEN cDNA 1700021A07 gene,35.0,76924.0,491928275.0,,2
71380932,25,70494576,sagittal,Gabrb2,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 2",36.0,14401.0,491928275.0,7327.0,2
829,25,702659,sagittal,Pnck,pregnancy upregulated non-ubiquitously expressed CaM kinase,57.0,93843.0,491928275.0,128728.0,2
70276982,25,69551989,sagittal,H2-M2,"histocompatibility 2, M region locus 2",43.0,14990.0,491928275.0,,2
379,25,702656,sagittal,Erdr1,erythroid differentiation regulator 1,59.0,170942.0,491928275.0,,2
69816774,25,69401443,sagittal,Rcn2,reticulocalbin 2,54.0,26611.0,491928275.0,2176.0,2
69817199,25,69401225,sagittal,Ppia,peptidylprolyl isomerase A,36.0,268373.0,491928275.0,115610.0,2
99,25,702656,sagittal,Ap2b1,"adaptor-related protein complex 2, beta 1 subunit",36.0,71770.0,491928275.0,68176.0,2
997,25,702634,sagittal,Son,Son DNA binding protein,42.0,20658.0,491928275.0,10551.0,2
2732,25,702726,sagittal,Wnt3,"wingless-type MMTV integration site family, member 3",36.0,22415.0,491928275.0,22527.0,2
282,25,702649,sagittal,Cnr1,cannabinoid receptor 1 (brain),49.0,12801.0,491928275.0,7273.0,2
69527806,25,69145835,sagittal,Klhdc7a,kelch domain containing 7A,49.0,242721.0,491928275.0,17567.0,2
70595841,25,69778802,sagittal,Xaf1,XIAP associated factor 1,36.0,327959.0,491928275.0,49488.0,2
69526420,25,69145815,sagittal,Suco,SUN domain containing ossification factor,34.0,226551.0,491928275.0,32212.0,2
69079990,25,68671037,sagittal,Josd1,Josephin domain containing 1,41.0,74158.0,491928275.0,122222.0,2
513493,25,220541,sagittal,Pacsin3,protein kinase C and casein kinase substrate in neurons 3,47.0,80708.0,491928275.0,41117.0,2
532633,25,227997,sagittal,Rab7,"RAB7, member RAS oncogene family",51.0,19349.0,491928275.0,3408.0,2
2376,25,702749,sagittal,Lhx2,LIM homeobox protein 2,47.0,16870.0,491928275.0,55848.0,2
67881761,25,323817,sagittal,Stk32c,serine/threonine kinase 32C,52.0,57740.0,491928275.0,75157.0,2
67815967,25,323809,sagittal,Trip12,thyroid hormone receptor interactor 12,34.0,14897.0,491928275.0,44226.0,2
69626705,25,69215164,sagittal,Ddr1,"discoidin domain receptor family, member 1",43.0,12305.0,491928275.0,68212.0,2
69527818,25,69145835,sagittal,Fam69b,"family with sequence similarity 69, member B",47.0,56279.0,491928275.0,10516.0,2
69816524,25,69409315,sagittal,Hdx,highly divergent homeobox,57.0,245596.0,491928275.0,16963.0,2
69028623,25,68640523,sagittal,Ces3a,carboxylesterase 3A,53.0,382053.0,491928275.0,84407.0,2
69015332,25,68602838,sagittal,Chst4,carbohydrate (chondroitin 6/keratan) sulfotransferase 4,53.0,26887.0,491928275.0,4216.0,2
68302005,25,67964707,sagittal,Gstt1,"glutathione S-transferase, theta 1",35.0,14871.0,491928275.0,20235.0,2
2622,25,702778,sagittal,Slc5a1,"solute carrier family 5 (sodium/glucose cotransporter), member 1",50.0,20537.0,491928275.0,55456.0,2
2524,25,702775,sagittal,Rela,v-rel reticuloendotheliosis viral oncogene homolog A (avian),45.0,19697.0,491928275.0,32064.0,2
71325330,25,70499957,sagittal,Pkd1,polycystic kidney disease 1 homolog,43.0,18763.0,491928275.0,250.0,2
999,25,702645,sagittal,Sox11,SRY (sex determining region Y)-box 11,37.0,20666.0,491928275.0,37733.0,2
69012759,25,68615509,sagittal,Arl3,ADP-ribosylation factor-like 3,45.0,56350.0,491928275.0,48276.0,2
69873319,25,69409328,sagittal,Rras,"Harvey rat sarcoma oncogene, subgroup R",52.0,20130.0,491928275.0,4565.0,2
68302203,25,67964724,sagittal,Hspb8,heat shock protein 8,50.0,80888.0,491928275.0,8654.0,2
68302317,25,67964745,sagittal,Rassf7,Ras association (RalGDS/AF-6) domain family (N-terminal) member 7,52.0,66985.0,491928275.0,2595.0,2
68302166,25,67964720,sagittal,Fbp1,fructose bisphosphatase 1,39.0,14121.0,491928275.0,55467.0,2
68743913,25,68678065,sagittal,Fbxw17,F-box and WD-40 domain protein 17,39.0,109082.0,491928275.0,82571.0,2
68743984,25,68678069,sagittal,Bend5,BEN domain containing 5,49.0,67621.0,491928275.0,41574.0,2
532577,25,220557,sagittal,Rfx2,"regulatory factor X, 2 (influences HLA class II expression)",43.0,19725.0,491928275.0,30980.0,2
69012777,25,68615509,sagittal,Rps14,ribosomal protein S14,44.0,20044.0,491928275.0,90926.0,2
513254,25,220517,sagittal,BC003965,cDNA sequence BC003965,43.0,214489.0,491928275.0,52829.0,2
513495,25,220541,sagittal,Ndufc2,"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2",52.0,68197.0,491928275.0,3344.0,2
513017,25,220501,sagittal,Galt,galactose-1-phosphate uridyl transferase,49.0,14430.0,491928275.0,126.0,2
513018,25,220501,sagittal,Pign,"phosphatidylinositol glycan anchor biosynthesis, class N",34.0,27392.0,491928275.0,6330.0,2
513014,25,220485,sagittal,Nubp2,nucleotide binding protein 2,43.0,26426.0,491928275.0,8057.0,2
141,25,702643,sagittal,Islr2,immunoglobulin superfamily containing leucine-rich repeat 2,54.0,320563.0,491928275.0,10833.0,2
59,25,702643,sagittal,Prune2,prune homolog 2 (Drosophila),45.0,353211.0,491928275.0,18939.0,2
69530894,25,69145839,sagittal,Myo16,myosin XVI,53.0,244281.0,491928275.0,34710.0,2
69838752,25,69434070,sagittal,Ppp1r37,"protein phosphatase 1, regulatory subunit 37",52.0,232947.0,491928275.0,17851.0,2
69873499,25,69426100,sagittal,Secisbp2,SECIS binding protein 2,39.0,75420.0,491928275.0,11415.0,2
69013173,25,68628652,sagittal,1110007C09Rik,RIKEN cDNA 1110007C09 gene,39.0,68480.0,491928275.0,12269.0,2
307,25,702640,sagittal,Ctsl,cathepsin L,39.0,13039.0,491928275.0,76699.0,2
521,25,702643,sagittal,Gpr88,G-protein coupled receptor 88,48.0,64378.0,491928275.0,11104.0,2
71325462,25,70494024,sagittal,Sim2,single-minded homolog 2 (Drosophila),42.0,20465.0,491928275.0,3716.0,2
71380489,25,70494560,sagittal,1700015E13Rik,RIKEN cDNA 1700015E13 gene,34.0,76925.0,491928275.0,18799.0,2
513244,25,220513,sagittal,Tom1l1,target of myb1-like 1 (chicken),36.0,71943.0,491928275.0,38055.0,2
513230,25,220509,sagittal,Prss30,"protease, serine 30",43.0,30943.0,491928275.0,88826.0,2
513020,25,220501,sagittal,Sh3bp2,SH3-domain binding protein 2,50.0,24055.0,491928275.0,2276.0,2
513475,25,220533,sagittal,Lactb2,"lactamase, beta 2",34.0,212442.0,491928275.0,9349.0,2
73949620,25,72008767,sagittal,A230097P14Rik*,RIKEN cDNA A230097P14 gene (non-RefSeq),,,,,2
69976478,25,69434109,sagittal,Sytl2,synaptotagmin-like 2,52.0,83671.0,491928275.0,12854.0,2
73870551,25,71903184,sagittal,Gm7461,predicted gene 7461,53.0,665044.0,491928275.0,,2
69838757,25,69434070,sagittal,Rassf3,Ras association (RalGDS/AF-6) domain family member 3,35.0,192678.0,491928275.0,16365.0,2
73808558,25,71717881,sagittal,A330079A07Rik*,RIKEN cDNA A330079A07 gene (non-RefSeq),,,,,2
73808391,25,71648513,sagittal,Rrbp1,ribosome binding protein 1,47.0,81910.0,491928275.0,68138.0,2
69873505,25,69426100,sagittal,Sele,"selectin, endothelial cell",34.0,20339.0,491928275.0,389.0,2
68843799,25,68678191,sagittal,Golga1,"golgi autoantigen, golgin subfamily a, 1",47.0,76899.0,491928275.0,68223.0,2
68745305,25,68678175,sagittal,Vapb,"vesicle-associated membrane protein, associated protein B and C",47.0,56491.0,491928275.0,36163.0,2
68744648,25,68678113,sagittal,Rpl36a,ribosomal protein L36A,57.0,19982.0,491928275.0,776.0,2
69626612,25,69215098,sagittal,Dact1,"dapper homolog 1, antagonist of beta-catenin (xenopus)",37.0,59036.0,491928275.0,9613.0,2
2722,25,702875,sagittal,Wnt1,"wingless-type MMTV integration site family, member 1",41.0,22408.0,491928275.0,3963.0,2
276,25,702640,sagittal,Clu,clusterin,40.0,12759.0,491928275.0,1382.0,2
277,25,702640,sagittal,Clu,clusterin,40.0,12759.0,491928275.0,1382.0,2
69873307,25,69409324,sagittal,Rps6ka1,ribosomal protein S6 kinase polypeptide 1,49.0,20111.0,491928275.0,55703.0,2
69817384,25,69401502,sagittal,Prss57,"protease, serine 57",35.0,73106.0,491928275.0,28512.0,2
68080710,25,355065,sagittal,Stk16,serine/threonine kinase 16,34.0,20872.0,491928275.0,2739.0,2
69028372,25,68602830,sagittal,Slc46a1,"solute carrier family 46, member 1",36.0,52466.0,491928275.0,41693.0,2
68321802,25,67965046,sagittal,Slc6a20b,"solute carrier family 6 (neurotransmitter transporter), member 20B",54.0,22599.0,491928275.0,130652.0,2
68302178,25,67964720,sagittal,Cyp3a11,"cytochrome P450, family 3, subfamily a, polypeptide 11",50.0,13112.0,491928275.0,121493.0,2
68302380,25,67965038,sagittal,Riok2,RIO kinase 2 (yeast),43.0,67045.0,491928275.0,6760.0,2
2007,25,702856,sagittal,Ankrd33,ankyrin repeat domain 33,41.0,208258.0,491928275.0,16992.0,2
806,25,702647,sagittal,Pkia,"protein kinase inhibitor, alpha",48.0,18767.0,491928275.0,7473.0,2
568,25,702639,sagittal,Hnf4a,"hepatic nuclear factor 4, alpha",47.0,15378.0,491928275.0,395.0,2
1338,25,702637,sagittal,Cdh3,cadherin 3,53.0,12560.0,491928275.0,20425.0,2
1279,25,702637,sagittal,Runx2,runt related transcription factor 2,43.0,12393.0,491928275.0,68389.0,2
237,25,702637,sagittal,Cdh2,cadherin 2,44.0,12558.0,491928275.0,20424.0,2
566,25,702639,sagittal,Hlf,hepatic leukemia factor,36.0,217082.0,491928275.0,31074.0,2
607,25,702639,sagittal,Jund,jun D proto-oncogene,53.0,16478.0,491928275.0,3910.0,2
69734723,25,69196958,sagittal,Chrna3,"cholinergic receptor, nicotinic, alpha polypeptide 3",54.0,110834.0,491928275.0,591.0,2
69528070,25,69154279,sagittal,Baiap2,brain-specific angiogenesis inhibitor 1-associated protein 2,36.0,108100.0,491928275.0,9697.0,2
68157394,25,355057,sagittal,Xrcc2,X-ray repair complementing defective repair in Chinese hamster cells 2,50.0,57434.0,491928275.0,3964.0,2
69015691,25,68602810,sagittal,Slc22a26,"solute carrier family 22 (organic cation transporter), member 26",45.0,236149.0,491928275.0,130993.0,2
69015685,25,68602810,sagittal,Fbxo25,F-box protein 25,53.0,66822.0,491928275.0,41649.0,2
69014866,25,68579632,sagittal,Serhl,serine hydrolase-like,41.0,68607.0,491928275.0,65196.0,2
69015164,25,68579616,sagittal,Mbtps1,"membrane-bound transcription factor peptidase, site 1",53.0,56453.0,491928275.0,2808.0,2
69015134,25,68579616,sagittal,Zmym1,"zinc finger, MYM domain containing 1",49.0,68310.0,491928275.0,32904.0,2
71210376,25,70298645,sagittal,Ppp6c,"protein phosphatase 6, catalytic subunit",47.0,67857.0,491928275.0,68273.0,2
71210364,25,70298645,sagittal,Papss2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,45.0,23972.0,491928275.0,55840.0,2
68341376,25,67965600,sagittal,Fam162a,"family with sequence similarity 162, member A",42.0,70186.0,491928275.0,8656.0,2
70595823,25,69778867,sagittal,Lrrc10b,leucine rich repeat containing 10B,45.0,278795.0,491928275.0,19583.0,2
70593314,25,69778838,sagittal,Nkx2-2,NK2 homeobox 2,47.0,18088.0,491928275.0,1879.0,2
70593312,25,69778838,sagittal,Nfe2,"nuclear factor, erythroid derived 2",41.0,18022.0,491928275.0,4491.0,2
70596071,25,69778826,sagittal,LOC381529,similar to RIKEN cDNA E130308A19,49.0,381529.0,491928275.0,,2
70595853,25,69778802,sagittal,LOC328369,hypothetical LOC328369,40.0,328369.0,491928275.0,,2
68321662,25,67965046,sagittal,Vps28,vacuolar protein sorting 28 (yeast),41.0,66914.0,491928275.0,69205.0,2
68321668,25,67965046,sagittal,Uqcrc1,ubiquinol-cytochrome c reductase core protein 1,54.0,22273.0,491928275.0,2525.0,2
68302221,25,67964724,sagittal,Crp,"C-reactive protein, pentraxin-related",34.0,12944.0,491928275.0,128039.0,2
69885576,25,69434159,sagittal,Sik1,salt inducible kinase 1,43.0,17691.0,491928275.0,7847.0,2
69885588,25,69434159,sagittal,Snrpd3,small nuclear ribonucleoprotein D3,35.0,67332.0,491928275.0,128323.0,2
